Receipt No.,Account,Transaction_Type,Money_In,Money_Out,Balance,DayOfWeekName,Completion Time
5GVCL9J7QK,Brown-Anderson,Till No,0.0,65.0,3401.53,Thursday,2024-02-01 09:20:31
6IH572W7JH,Lopez LLC,Till No,0.0,230.0,3466.53,Wednesday,2024-01-31 20:12:39
H838IWTRR1,Walker Inc,Till No,0.0,610.0,3696.53,Wednesday,2024-01-31 19:53:43
LKW7P65RDY,Brown-Anderson,Till No,0.0,50.0,4306.53,Wednesday,2024-01-31 16:15:10
KM9QWQOR4L,Griffith PLC,Till No,0.0,130.0,4356.53,Wednesday,2024-01-31 16:13:19
5EHV5BHN7N,Madison Pugh,Send Money,0.0,100.0,4486.53,Tuesday,2024-01-30 19:02:03
1L16BGJKD0,Griffith PLC,Till No,0.0,60.0,4586.53,Tuesday,2024-01-30 10:08:34
1TGLZJ3GKU,"Smith, Mcknight and Brown",Till No,0.0,50.0,4646.53,Monday,2024-01-29 18:35:51
OJ8JX40VK6,Benjamin Villanueva,Send Money,0.0,50.0,4696.53,Monday,2024-01-29 18:33:08
EOSZF1TMEI,Mpesa Charges,Mpesa Charges,0.0,7.0,4746.53,Monday,2024-01-29 18:30:12
6DL8FX102N,"Hill, Matthews and Martin",Till No,0.0,300.0,4943.53,Monday,2024-01-29 12:48:44
X0ZN14OJ6Y,Shwari Withdraw,Mshwari Withdraw,5000.0,0.0,5243.53,Monday,2024-01-29 12:48:18
JKPVSXZTRG,Wayne Porter,Pochi,0.0,70.0,243.53,Monday,2024-01-29 07:29:09
DJVWECJO0W,Mpesa Charges,Mpesa Charges,0.0,7.0,313.53,Sunday,2024-01-28 19:18:31
V50O518686,Chad Bradley,Send Money,0.0,500.0,320.53,Sunday,2024-01-28 19:18:31
8WY55NQEZ8,Mpesa Charges,Mpesa Charges,0.0,13.0,820.53,Saturday,2024-01-27 19:39:43
PQS0R93JHI,Katherine Mclaughlin,Send Money,0.0,780.0,833.53,Saturday,2024-01-27 19:39:43
OJCB3E5D5D,Mpesa Charges,Mpesa Charges,0.0,7.0,1613.53,Saturday,2024-01-27 19:04:28
UTH4OCOVO6,Jeffrey Smith,Send Money,0.0,170.0,1620.53,Saturday,2024-01-27 19:04:28
EWLDVED2VT,Mpesa Charges,Mpesa Charges,0.0,7.0,1790.53,Saturday,2024-01-27 19:01:26
KO2B0250R0,Madison Pugh,Send Money,0.0,400.0,1797.53,Saturday,2024-01-27 19:01:26
7MYGVTMSMR,Mpesa Charges,Mpesa Charges,0.0,5.0,2197.53,Saturday,2024-01-27 18:55:59
2DSBKW6M89,Yates-Dunn,Pay Bill,0.0,115.0,2202.53,Saturday,2024-01-27 18:55:59
JB2PZ626LS,Mpesa Charges,Mpesa Charges,0.0,5.0,2317.53,Saturday,2024-01-27 14:50:03
VRGMCAP7BZ,Yates-Dunn,Pay Bill,0.0,140.0,2322.53,Saturday,2024-01-27 14:50:03
FGB5CR2ALQ,"Franklin, Hatfield and Wilson",Till No,0.0,340.0,2462.53,Saturday,2024-01-27 14:42:14
R5XR8ZOHD5,Melinda Fields,Send Money,0.0,100.0,2802.53,Saturday,2024-01-27 13:46:53
M8LUKT4UXZ,"Franklin, Hatfield and Wilson",Till No,0.0,170.0,2902.53,Saturday,2024-01-27 10:32:55
LAULD6XL8A,Mpesa Charges,Mpesa Charges,0.0,23.0,3072.53,Saturday,2024-01-27 08:32:15
2KZ2CJDBMV,Joseph Perez,Send Money,0.0,1500.0,3095.53,Saturday,2024-01-27 08:32:15
MHH8MTOTMW,Dorothy Price,Send Money,0.0,1500.0,3095.53,Saturday,2024-01-27 08:32:15
A0NA7EOCAW,"Smith, Mcknight and Brown",Till No,0.0,60.0,4595.53,Friday,2024-01-26 20:24:50
WVT1QD6OOO,Alicia Chapman,Send Money,0.0,50.0,4655.53,Friday,2024-01-26 18:25:38
N21HQMWDV4,Mpesa Charges,Mpesa Charges,0.0,7.0,4705.53,Friday,2024-01-26 18:23:54
JU2ED1UDRJ,Nicholas Mitchell,Send Money,0.0,330.0,4712.53,Friday,2024-01-26 18:23:54
XQDRNI8H4M,Donald Cross,Send Money,0.0,100.0,5042.53,Friday,2024-01-26 17:18:29
ZX5VRPZGKP,Sullivan PLC,Till No,0.0,1900.0,5142.53,Friday,2024-01-26 16:41:02
XA2RG061JO,Shwari Withdraw,Mshwari Withdraw,5000.0,0.0,7042.53,Friday,2024-01-26 16:38:35
NZR79XZUAX,Griffin Group,Till No,0.0,1760.0,2042.53,Friday,2024-01-26 16:01:51
B09G4LVF2W,Michelle Brock,Pochi,0.0,40.0,3802.53,Friday,2024-01-26 15:28:03
H4BOE178DW,"Cummings, Baker and Rodriguez",Pay Bill,0.0,2070.0,3842.53,Friday,2024-01-26 14:26:05
VGZY417YH6,Shwari Withdraw,Mshwari Withdraw,5000.0,0.0,5912.53,Friday,2024-01-26 14:24:05
FTRARBV183,"Cummings, Baker and Rodriguez",Pay Bill,0.0,6200.0,912.53,Friday,2024-01-26 13:14:24
6SYU4AXSP1,Susan Davis,Send Money,0.0,100.0,7112.53,Friday,2024-01-26 12:38:40
TQPKWH1U97,Mpesa Charges,Mpesa Charges,0.0,10.0,7212.53,Friday,2024-01-26 10:34:08
OLXBVDCQKK,White-Fowler,Pay Bill,0.0,1000.0,7222.53,Friday,2024-01-26 10:34:08
B9PEY72G4L,Jennifer Hernandez,Send Money,0.0,50.0,8222.53,Thursday,2024-01-25 19:22:09
D5BUCL0JX0,Fisher Inc,Till No,0.0,90.0,8272.53,Thursday,2024-01-25 19:14:04
7GYTSKW4CO,"Franklin, Hatfield and Wilson",Till No,0.0,110.0,8362.53,Thursday,2024-01-25 19:10:49
HJ0EF3WSCU,"Franklin, Hatfield and Wilson",Till No,0.0,200.0,8472.53,Wednesday,2024-01-24 19:52:03
51K1N1L5ZV,Mpesa Charges,Mpesa Charges,0.0,7.0,8672.53,Wednesday,2024-01-24 09:03:28
L92LSUOXD3,Travis Escobar,Send Money,0.0,155.0,8679.53,Wednesday,2024-01-24 09:03:28
W7TI4E60RV,Shwari Deposit,Mshwari Deposit,0.0,20000.0,8834.53,Tuesday,2024-01-23 18:47:43
1KRYOLHZTG,"Smith, Mcknight and Brown",Till No,0.0,70.0,28834.53,Tuesday,2024-01-23 18:42:07
SW1D9GN5GF,Laurie Armstrong,Send Money,0.0,60.0,28904.53,Tuesday,2024-01-23 18:38:03
L614SKATCC,Mpesa Charges,Mpesa Charges,0.0,13.0,28964.53,Tuesday,2024-01-23 09:33:24
UUWDCSN6H7,Joseph Perez,Send Money,0.0,1000.0,28977.53,Tuesday,2024-01-23 09:33:24
7K1939U6IR,Dorothy Price,Send Money,0.0,1000.0,28977.53,Tuesday,2024-01-23 09:33:24
FJZKOYJ787,Griffith PLC,Till No,0.0,60.0,29977.53,Tuesday,2024-01-23 08:56:30
DPAT29YZYP, M-PESA Overdraw,Fuliza Loan Repayment,0.0,37.47,30037.53,Tuesday,2024-01-23 08:50:40
DD57BRSPGF,Roy Brown,Receive Money,30000.0,0.0,30075.0,Tuesday,2024-01-23 08:50:40
F7TZ8E33ZL,Rebecca Hicks,Receive Money,30000.0,0.0,30075.0,Tuesday,2024-01-23 08:50:40
0ERQ7ZSWEP,Mpesa Charges,Mpesa Charges,0.0,5.0,75.0,Monday,2024-01-22 22:30:52
LD2A2F0AZ0,"Lee, Beasley and Marshall",Pay Bill,0.0,100.0,230.0,Monday,2024-01-22 21:22:08
98ECKRY24K,Fuliza Loan,Fuliza Loan,37.09,0.0,330.0,Monday,2024-01-22 21:22:08
E0J8K4MTK0,Airtime Purchase,Airtime Purchase,0.0,20.0,292.91,Monday,2024-01-22 19:49:33
A316DEEWJ6,White-Fowler,Pay Bill,0.0,100.0,312.91,Monday,2024-01-22 18:34:06
6ZRPC2U9J4,Wagner Group,Bank Transfer,350.0,0.0,412.91,Monday,2024-01-22 18:33:17
W886DJWUC4,"Smith, Mcknight and Brown",Till No,0.0,20.0,62.91,Sunday,2024-01-21 16:56:51
I6ENNE3T4X,Laurie Armstrong,Send Money,0.0,60.0,82.91,Sunday,2024-01-21 16:54:24
XKOD7CC7K1,Mpesa Charges,Mpesa Charges,0.0,7.0,142.91,Sunday,2024-01-21 16:52:35
7QOE7JK0XD,Alicia Chapman,Send Money,0.0,110.0,149.91,Sunday,2024-01-21 16:52:35
UURERVC1XS,Mpesa Charges,Mpesa Charges,0.0,7.0,259.91,Sunday,2024-01-21 15:48:27
XG3ZB3JPA1,Nicholas Mitchell,Send Money,0.0,150.0,266.91,Sunday,2024-01-21 15:48:27
K94SICSOM2,Mpesa Charges,Mpesa Charges,0.0,7.0,416.91,Sunday,2024-01-21 15:46:24
IHKUZ1NOM4,Madison Pugh,Send Money,0.0,280.0,423.91,Sunday,2024-01-21 15:46:24
KWCK400E4W,Mpesa Charges,Mpesa Charges,0.0,13.0,703.91,Sunday,2024-01-21 15:43:03
0ZQS8KABQW,James Evans,Send Money,0.0,860.0,716.91,Sunday,2024-01-21 15:43:03
BS827FTU3F,Mpesa Charges,Mpesa Charges,0.0,13.0,1576.91,Sunday,2024-01-21 11:45:05
8IPTKAMWT7,Kayla Wells,Send Money,0.0,850.0,1589.91,Sunday,2024-01-21 11:45:05
CW5KYSI8KV,Lewis-Smith,Till No,0.0,150.0,2439.91,Sunday,2024-01-21 09:48:32
KLU2Y73UO5,Alicia Chapman,Send Money,0.0,30.0,2589.91,Friday,2024-01-19 18:41:54
M6D35BCLN0,Mr. Ryan Keith DVM,Send Money,0.0,40.0,2619.91,Friday,2024-01-19 18:40:24
WN5LLGD5WY,Mr. Ryan Keith DVM,Send Money,0.0,90.0,2659.91,Friday,2024-01-19 18:39:11
IBQ4E26MD3,Mpesa Charges,Mpesa Charges,0.0,7.0,2749.91,Friday,2024-01-19 18:36:23
6V7TPOVPZQ,Madison Pugh,Send Money,0.0,270.0,2756.91,Friday,2024-01-19 18:36:23
MEBX9WQM1U,Shwari Loan Request,MShwari Loan,0.0,0.0,3026.91,Friday,2024-01-19 18:30:34
Y83ZVL7QOG,Shwari Loan Disburse,MShwari Loan,3000.0,0.0,3026.91,Friday,2024-01-19 18:30:34
KGPMPAI66Z,"Smith, Mcknight and Brown",Till No,0.0,40.0,26.91,Thursday,2024-01-18 19:37:01
OBM47V7XOR,Mpesa Charges,Mpesa Charges,0.0,23.0,66.91,Thursday,2024-01-18 09:50:30
DR7KXIH1C8,Stephanie Butler,Send Money,0.0,1300.0,89.91,Thursday,2024-01-18 09:50:30
R4WCKO5B5X,Shwari Withdraw,Mshwari Withdraw,800.0,0.0,1389.91,Thursday,2024-01-18 09:49:27
JEE2JWCMAL,Mpesa Charges,Mpesa Charges,0.0,57.2,589.91,Thursday,2024-01-18 08:18:17
Z71MXPSK2Z,Klein Group,Till No,0.0,10400.0,647.11,Thursday,2024-01-18 08:18:17
BBPTPSSRQY,Allen-Clark,Bank Transfer,7500.0,0.0,11047.11,Thursday,2024-01-18 07:58:07
CLSC5VFA5Q,Mpesa Charges,Mpesa Charges,0.0,13.0,3547.11,Wednesday,2024-01-17 20:52:08
UUL2YX8HAZ,Stephanie Butler,Send Money,0.0,829.0,3560.11,Wednesday,2024-01-17 20:52:08
OXCE7MLIE2,Alicia Chapman,Send Money,0.0,60.0,4389.11,Wednesday,2024-01-17 20:07:14
9BZKCFB7DO,Mpesa Charges,Mpesa Charges,0.0,7.0,4449.11,Wednesday,2024-01-17 20:05:37
OKJJTRL0KO,Nicole Carrillo,Send Money,0.0,180.0,4456.11,Wednesday,2024-01-17 20:05:37
P5S7JZUVS7,Mpesa Charges,Mpesa Charges,0.0,13.0,4636.11,Wednesday,2024-01-17 19:19:31
IU82YWQG2C,David Allison,Send Money,0.0,1000.0,4649.11,Wednesday,2024-01-17 19:19:31
DDKPVG9YX1,Mpesa Charges,Mpesa Charges,0.0,10.0,5649.11,Wednesday,2024-01-17 17:08:37
B8V8FIPB72,"Bridges, Blackwell and Meyer",Pay Bill,0.0,800.0,5659.11,Wednesday,2024-01-17 17:08:37
74MOQDS16W,Mpesa Charges,Mpesa Charges,0.0,51.7,6459.11,Wednesday,2024-01-17 15:19:41
30FSYJT7I4,Phillips Ltd,Till No,0.0,9400.0,6510.81,Wednesday,2024-01-17 15:19:41
78AB9E9O23,Allen-Wolf,Bank Transfer,15000.0,0.0,15910.81,Wednesday,2024-01-17 15:18:24
XD9AIM9C1P,Mpesa Charges,Mpesa Charges,0.0,5.0,910.81,Wednesday,2024-01-17 08:45:40
NQDQ0A6ZV0,White-Fowler,Pay Bill,0.0,500.0,915.81,Wednesday,2024-01-17 08:45:40
XZPKF4T68L,Mpesa Charges,Mpesa Charges,0.0,53.0,1415.81,Tuesday,2024-01-16 18:48:07
KN6JWUAGKJ,Kristin Lloyd,Send Money,0.0,2570.0,1468.81,Tuesday,2024-01-16 18:48:07
B6MH8VXQ2W,Brown-Anderson,Till No,0.0,190.0,4038.81,Tuesday,2024-01-16 18:42:22
3AGKHJ5LEN,"Hill, Matthews and Martin",Till No,0.0,300.0,4228.81,Monday,2024-01-15 20:29:13
PBW7I01FCF,Mpesa Charges,Mpesa Charges,0.0,13.0,4528.81,Monday,2024-01-15 15:53:47
25OOGEWNZO,Stephanie Butler,Send Money,0.0,829.0,4541.81,Monday,2024-01-15 15:53:47
TVI25BJO73,Mpesa Charges,Mpesa Charges,0.0,7.0,5370.81,Monday,2024-01-15 15:52:40
2KCXSK8OA1,Adam Burns,Send Money,0.0,500.0,5377.81,Monday,2024-01-15 15:52:40
V4HBWHAF66,Mpesa Charges,Mpesa Charges,0.0,7.0,5877.81,Sunday,2024-01-14 15:46:04
6O7VL5O9ZJ,Nicholas Mitchell,Send Money,0.0,150.0,5884.81,Sunday,2024-01-14 15:46:04
72NE3PMJFT,Mpesa Charges,Mpesa Charges,0.0,7.0,6034.81,Sunday,2024-01-14 15:42:33
S7EZ5092M0,Madison Pugh,Send Money,0.0,240.0,6041.81,Sunday,2024-01-14 15:42:33
S3LPU6B4P3,Mpesa Charges,Mpesa Charges,0.0,42.0,6281.81,Sunday,2024-01-14 13:03:34
13OTDTDIXF,Adams-Ross,Pay Bill,0.0,6656.0,6323.81,Sunday,2024-01-14 13:03:34
E2ODGNG4GZ,Mpesa Charges,Mpesa Charges,0.0,7.0,12979.81,Sunday,2024-01-14 02:01:27
ILGNA4WJWC,Hector Kramer,Send Money,0.0,350.0,12986.81,Sunday,2024-01-14 02:01:27
YL425IVOKI,Theresa Kelly,Send Money,0.0,350.0,12986.81,Sunday,2024-01-14 02:01:27
169GQZTYQO,Todd Bradford,Send Money,0.0,100.0,13336.81,Saturday,2024-01-13 19:58:12
S0SOI2R4NR,Mpesa Charges,Mpesa Charges,0.0,53.0,13436.81,Saturday,2024-01-13 19:19:35
4H9IBM3FX5,Adam Burns,Send Money,0.0,3000.0,13489.81,Saturday,2024-01-13 19:19:35
VT667BEJAE,Mpesa Charges,Mpesa Charges,0.0,90.0,16489.81,Saturday,2024-01-13 16:26:33
HIND21JHZ8,Stephanie Butler,Send Money,0.0,8835.0,16579.81,Saturday,2024-01-13 16:26:33
H64YKB1XZC,Mpesa Charges,Mpesa Charges,0.0,53.0,25414.81,Saturday,2024-01-13 15:03:10
6C1ITBVLHV,Adam Burns,Send Money,0.0,3000.0,25467.81,Saturday,2024-01-13 15:03:10
IWQWPHOOFR,Kaitlyn Chavez,Send Money,0.0,100.0,28467.81,Saturday,2024-01-13 14:59:27
Q7A6J96684,Mpesa Charges,Mpesa Charges,0.0,57.0,28567.81,Saturday,2024-01-13 14:39:45
1JIMD2J5Z5,David Diaz,Send Money,0.0,4800.0,28624.81,Saturday,2024-01-13 14:39:45
Q3MIE4UW1F,Mpesa Charges,Mpesa Charges,0.0,29.0,33424.81,Saturday,2024-01-13 14:33:36
9OOC4XBUYD,"Anderson, Ferguson and Jones",Cash Withdrawal,0.0,1250.0,33453.81,Saturday,2024-01-13 14:33:36
06Y20A9DIY,Mpesa Charges,Mpesa Charges,0.0,197.0,34703.81,Saturday,2024-01-13 14:24:29
6TQFENQKTN,Lane Group,Cash Withdrawal,0.0,30400.0,34900.81,Saturday,2024-01-13 14:24:29
2MYA8TEK8T,Mpesa Charges,Mpesa Charges,0.0,69.0,65300.81,Saturday,2024-01-13 13:44:02
9BNH2ZOI92,"Anderson, Ferguson and Jones",Cash Withdrawal,0.0,3800.0,65369.81,Saturday,2024-01-13 13:44:02
VKQRDGHD10,Mpesa Charges,Mpesa Charges,0.0,13.0,69169.81,Saturday,2024-01-13 11:23:45
9S0966N5CL,Thomas Berry,Send Money,0.0,750.0,69182.81,Saturday,2024-01-13 11:23:45
338H8MX5B4,Other,Other,0.0,1000.0,69932.81,Saturday,2024-01-13 11:12:04
1DG6HMT9K6,Mpesa Charges,Mpesa Charges,0.0,5.0,70932.81,Saturday,2024-01-13 09:38:14
YYWXA2PSHS,Newman Inc,Pay Bill,0.0,155.0,70937.81,Saturday,2024-01-13 09:38:14
8PJM6KNXPF,Mpesa Charges,Mpesa Charges,0.0,5.0,71092.81,Saturday,2024-01-13 09:35:11
VG43MNRO78,Newman Inc,Pay Bill,0.0,120.0,71097.81,Saturday,2024-01-13 09:35:11
EQT26VFEZR,Mpesa Charges,Mpesa Charges,0.0,13.0,71217.81,Friday,2024-01-12 20:24:00
JA7QM0VEER,Amanda Baxter,Send Money,0.0,980.0,71230.81,Friday,2024-01-12 20:24:00
DCEE641VY7,Mpesa Charges,Mpesa Charges,0.0,108.0,72210.81,Friday,2024-01-12 19:36:45
96CDKRQZY8,Sarah Compton,Send Money,0.0,21500.0,72318.81,Friday,2024-01-12 19:36:45
GFVP8U6DUZ,Mpesa Charges,Mpesa Charges,0.0,11.0,93818.81,Friday,2024-01-12 19:32:01
JEK4YFRH5C,Brown PLC,Till No,0.0,2000.0,93829.81,Friday,2024-01-12 19:32:01
OC2ITHO2A5,Smith-Moore,Till No,0.0,1380.0,95829.81,Friday,2024-01-12 16:10:40
A0Q3FZJQB5,Mpesa Charges,Mpesa Charges,0.0,25.0,97209.81,Friday,2024-01-12 14:52:25
RGN4EA86D9,"Malone, Crawford and Shaw",Pay Bill,0.0,3245.0,97234.81,Friday,2024-01-12 14:52:25
0ND3X7TVEY,Mpesa Charges,Mpesa Charges,0.0,13.0,100479.81,Friday,2024-01-12 14:34:59
L1PPCFWKNM,Scott Wilkins,Send Money,0.0,960.0,100492.81,Friday,2024-01-12 14:34:59
YN157B4CUK,Gary Lynch,Receive Money,100000.0,0.0,101452.81,Friday,2024-01-12 14:17:38
GLO79XFBAU,Brittany Garrett,Receive Money,100000.0,0.0,101452.81,Friday,2024-01-12 14:17:38
VHSLWPZQRN,"Franklin, Hatfield and Wilson",Till No,0.0,390.0,1452.81,Thursday,2024-01-11 19:12:48
9Y5XA0B53M,Mpesa Charges,Mpesa Charges,0.0,23.0,1842.81,Thursday,2024-01-11 18:03:36
H5S4ZDXTX8,Glenn Gonzalez,Send Money,0.0,1200.0,1865.81,Thursday,2024-01-11 18:03:36
B8U3MIN8NM,Mpesa Charges,Mpesa Charges,0.0,23.0,3065.81,Thursday,2024-01-11 16:54:18
GVKCW50R0H,Rachel Klein,Send Money,0.0,1500.0,3088.81,Thursday,2024-01-11 16:54:18
KEMTU06BQ0,Mpesa Charges,Mpesa Charges,0.0,13.0,4588.81,Thursday,2024-01-11 14:39:47
DXW4D1HI4D,John Russo,Send Money,0.0,960.0,4601.81,Thursday,2024-01-11 14:39:47
1MJI3U59MT,Marshall-Green,Bank Transfer,5000.0,0.0,5561.81,Thursday,2024-01-11 13:38:34
Z7KC7223IU,Mpesa Charges,Mpesa Charges,0.0,7.0,561.81,Wednesday,2024-01-10 14:59:57
CHZ2AO9EQL,Bradley Evans,Send Money,0.0,450.0,568.81,Wednesday,2024-01-10 14:59:57
AMJOSHFQV5,Mpesa Charges,Mpesa Charges,0.0,53.0,1018.81,Wednesday,2024-01-10 12:59:31
0OTZWOYEDW,Cindy Romero,Send Money,0.0,3058.0,1071.81,Wednesday,2024-01-10 12:59:31
D14JOP1710,Newman Inc,Pay Bill,0.0,65.0,4129.81,Wednesday,2024-01-10 10:05:43
ZZVJNQSDDD,Mpesa Charges,Mpesa Charges,0.0,5.0,4194.81,Tuesday,2024-01-09 08:30:31
IJLM9216YB,White-Fowler,Pay Bill,0.0,500.0,4199.81,Tuesday,2024-01-09 08:30:31
PBMXI0GZ9E,"Smith, Mcknight and Brown",Till No,0.0,60.0,4699.81,Monday,2024-01-08 19:31:49
2WWDBZX0T7,Mpesa Charges,Mpesa Charges,0.0,15.0,4759.81,Monday,2024-01-08 17:57:51
OLFBB40MGT,Morales PLC,Pay Bill,0.0,1044.0,4774.81,Monday,2024-01-08 17:57:51
RMPE5PY9QI,Mpesa Charges,Mpesa Charges,0.0,13.0,5818.81,Sunday,2024-01-07 21:43:48
YSFHLYNK2U,Joseph Perez,Send Money,0.0,750.0,5831.81,Sunday,2024-01-07 21:43:48
FWEHX9R7XE,Dorothy Price,Send Money,0.0,750.0,5831.81,Sunday,2024-01-07 21:43:48
VZDE6RW9PF,"Smith, Mcknight and Brown",Till No,0.0,30.0,6581.81,Sunday,2024-01-07 18:54:43
3QAAAN6I3N,Mpesa Charges,Mpesa Charges,0.0,7.0,6788.81,Sunday,2024-01-07 14:10:53
15D7J13K23,Sandra Murray,Send Money,0.0,400.0,6795.81,Sunday,2024-01-07 14:10:53
6TX82YOZC8,Mpesa Charges,Mpesa Charges,0.0,5.0,7195.81,Sunday,2024-01-07 10:54:01
Q041G64CFG,Newman Inc,Pay Bill,0.0,155.0,7200.81,Sunday,2024-01-07 10:54:01
HEJF693DC0,Mpesa Charges,Mpesa Charges,0.0,7.0,7355.81,Saturday,2024-01-06 20:07:03
K67U3GANVF,John Roberson,Send Money,0.0,155.0,7362.81,Saturday,2024-01-06 20:07:03
QWNJVL7WVL,Wells-Day,Till No,0.0,300.0,7517.81,Saturday,2024-01-06 20:03:00
UXSCXVX3UF,Brown-Anderson,Till No,0.0,1200.0,7817.81,Saturday,2024-01-06 19:49:05
R6YU15LB6G,"Smith, Mcknight and Brown",Till No,0.0,110.0,9017.81,Saturday,2024-01-06 19:46:45
7BKTUTVEMX,"Smith, Mcknight and Brown",Till No,0.0,50.0,9127.81,Friday,2024-01-05 20:35:19
MZKHYZ3H96,"Keith, Phillips and Singleton",Pay Bill,0.0,2999.0,9177.81,Friday,2024-01-05 17:33:32
231BP29A11,Mpesa Charges,Mpesa Charges,0.0,83.0,12176.81,Friday,2024-01-05 17:22:39
XXNRZ7FT8G,"Caldwell, King and Taylor",Pay Bill,0.0,31100.0,12259.81,Friday,2024-01-05 17:22:39
NPOE5TN7L3,Mpesa Charges,Mpesa Charges,0.0,7.0,43359.81,Friday,2024-01-05 16:44:32
VO9BPOWPDJ,Patrick Mcconnell,Send Money,0.0,500.0,43366.81,Friday,2024-01-05 16:44:32
3IWQ40ZIV3,Lee Ltd,Pay Bill,0.0,20.0,43866.81,Friday,2024-01-05 12:43:38
M55EDJSOF9,Mpesa Charges,Mpesa Charges,0.0,33.0,43886.81,Friday,2024-01-05 09:53:38
9237GWCRB9,Guerra and Sons,Bank Transfer,45000.0,0.0,45919.81,Friday,2024-01-05 09:48:36
0IVBDYA4JK,Mpesa Charges,Mpesa Charges,0.0,10.0,919.81,Thursday,2024-01-04 18:59:44
S2DDNQJKA5,Beck-Buck,Pay Bill,0.0,650.0,929.81,Thursday,2024-01-04 18:59:44
XSQLW35PY1,Airtime Purchase,Airtime Purchase,0.0,50.0,1579.81,Sunday,2023-12-31 20:48:01
51QT643PLZ,Other,Other,0.0,1000.0,1629.81,Saturday,2023-12-30 08:52:49
FZ7KDP50AB,Airtime Purchase,Airtime Purchase,0.0,50.0,2629.81,Friday,2023-12-29 23:05:43
ZEU5VY9KZT,Navarro and Sons,Bank Transfer,2500.0,0.0,2679.81,Friday,2023-12-29 18:56:38
KGZXWFS2G4,Airtime Purchase,Airtime Purchase,0.0,50.0,179.81,Friday,2023-12-29 18:55:11
COX53X0Q17,Airtime Purchase,Airtime Purchase,0.0,50.0,229.81,Friday,2023-12-29 12:08:30
S64WA5MYK9,Airtime Purchase,Airtime Purchase,0.0,50.0,279.81,Thursday,2023-12-28 14:56:20
3PKCT5QG48,Airtime Purchase,Airtime Purchase,0.0,50.0,329.81,Thursday,2023-12-28 12:08:32
TFWIJ48102,Airtime Purchase,Airtime Purchase,0.0,20.0,379.81,Tuesday,2023-12-26 21:30:15
7TVTI4FIKB,Mpesa Charges,Mpesa Charges,0.0,7.0,399.81,Monday,2023-12-25 12:54:59
LFP89VIWSW,Gary Lynch,Send Money,0.0,300.0,406.81,Monday,2023-12-25 12:54:59
1I65XS3REM,Brittany Garrett,Send Money,0.0,300.0,406.81,Monday,2023-12-25 12:54:59
S30DZB65WY,Walters and Sons,Pay Bill,0.0,50.0,706.81,Saturday,2023-12-23 20:03:09
WDZDSZXMKL,"Schmitt, Mullins and Collins",Till No,0.0,20.0,756.81,Friday,2023-12-22 07:52:15
FUKU4RA0P9,Mpesa Charges,Mpesa Charges,0.0,5.0,776.81,Friday,2023-12-22 03:57:33
2AY48WKX7F,White-Fowler,Pay Bill,0.0,300.0,781.81,Friday,2023-12-22 03:57:33
MMX7OKK9DO,Brown-Anderson,Till No,0.0,190.0,1081.81,Thursday,2023-12-21 20:17:43
PF0G4O1WB1,Mpesa Charges,Mpesa Charges,0.0,53.0,1271.81,Thursday,2023-12-21 20:15:30
JHTXEJOIIQ,Susan Smith,Send Money,0.0,2668.0,1324.81,Thursday,2023-12-21 20:15:30
PZS5GF5D56,Mpesa Charges,Mpesa Charges,0.0,3.49,4092.81,Thursday,2023-12-21 15:49:29
4AMF9LOW3B,"Vega, Levine and Benjamin",Till No,0.0,1812.0,4741.26,Thursday,2023-12-21 15:29:11
YIQNZFMIWI,Brown-Anderson,Till No,0.0,160.0,6553.26,Thursday,2023-12-21 08:23:27
LLKRODAQZR,Michael Sanchez,Send Money,0.0,60.0,6713.26,Wednesday,2023-12-20 18:31:20
7T92U05Q8B,Lopez LLC,Till No,0.0,850.0,6773.26,Wednesday,2023-12-20 18:26:39
WEE2OWWWIS,Newman Inc,Pay Bill,0.0,65.0,7623.26,Wednesday,2023-12-20 09:37:06
IISXR5J1OQ,Mpesa Charges,Mpesa Charges,0.0,5.0,7688.26,Tuesday,2023-12-19 20:26:51
5JD8DW38BF,White-Fowler,Pay Bill,0.0,500.0,7693.26,Tuesday,2023-12-19 20:26:51
4Z1P0GBFN8,"Smith, Mcknight and Brown",Till No,0.0,235.0,8193.26,Tuesday,2023-12-19 19:35:32
8OUI4QJO1E,"Hill, Matthews and Martin",Till No,0.0,300.0,8428.26,Tuesday,2023-12-19 16:53:30
SK98AQOD4F,Mpesa Charges,Mpesa Charges,0.0,13.0,8728.26,Tuesday,2023-12-19 13:20:50
OUUP5F5XBW,Thomas Edwards,Send Money,0.0,1000.0,8741.26,Tuesday,2023-12-19 13:20:50
GCFU81UKCH,Mpesa Charges,Mpesa Charges,0.0,108.0,9741.26,Tuesday,2023-12-19 13:17:59
4VJAIGKVQE,Jared Moore,Send Money,0.0,30000.0,9849.26,Tuesday,2023-12-19 13:17:59
XAVI8C1RJR,Stacey Fletcher,Receive Money,35000.0,0.0,39849.26,Tuesday,2023-12-19 13:16:00
LBN5REC5IW,Mpesa Charges,Mpesa Charges,0.0,33.0,4849.26,Tuesday,2023-12-19 13:02:19
1OV8CTUMRG,Kristina Deleon,Send Money,0.0,1600.0,4882.26,Tuesday,2023-12-19 13:02:19
NN0JDPWNQH,Wiggins-Morales,Bank Transfer,5000.0,0.0,6482.26,Tuesday,2023-12-19 13:01:16
